"YEAR","START_DATE","END_DATE","JURISDICTION","LOCATION","AGE_GROUP","METRIC","BEST_DETECTION_METHOD","DETECTION_METHOD","AMPHETAMINE","CANNABIS","COCAINE","ECSTASY","METHYLAMPHETAMINE","OTHER","UNKNOWN","NO_DRUGS_DETECTED","COUNT","FINES","ARRESTS","CHARGES"
2008,"2008-01-01","2008-12-31","nsw","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",542,0,0,0
2008,"2008-01-01","2008-12-31","qld","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",216,0,0,0
2008,"2008-01-01","2008-12-31","sa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",600,0,0,0
2008,"2008-01-01","2008-12-31","tas","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",211,0,0,0
2008,"2008-01-01","2008-12-31","vic","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",438,0,0,0
2008,"2008-01-01","2008-12-31","wa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",406,0,0,0
2009,"2009-01-01","2009-12-31","nsw","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",613,0,0,0
2009,"2009-01-01","2009-12-31","qld","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",254,0,0,0
2009,"2009-01-01","2009-12-31","sa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",1179,0,0,0
2009,"2009-01-01","2009-12-31","tas","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",252,0,0,0
2009,"2009-01-01","2009-12-31","vic","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",323,0,0,0
2009,"2009-01-01","2009-12-31","wa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",289,0,0,0
2010,"2010-01-01","2010-12-31","nsw","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",735,0,0,0
2010,"2010-01-01","2010-12-31","qld","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",440,0,0,0
2010,"2010-01-01","2010-12-31","sa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",1699,0,0,0
2010,"2010-01-01","2010-12-31","vic","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",741,0,0,0
2010,"2010-01-01","2010-12-31","wa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",418,0,0,0
2011,"2011-01-01","2011-12-31","nsw","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",666,0,0,0
2011,"2011-01-01","2011-12-31","qld","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",825,0,0,0
2011,"2011-01-01","2011-12-31","sa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",2320,0,0,0
2011,"2011-01-01","2011-12-31","tas","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",573,0,0,0
2011,"2011-01-01","2011-12-31","vic","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",760,0,0,0
2011,"2011-01-01","2011-12-31","wa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",460,0,0,0
2012,"2012-01-01","2012-12-31","act","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",37,0,0,0
2012,"2012-01-01","2012-12-31","nsw","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",705,0,0,0
2012,"2012-01-01","2012-12-31","qld","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",937,0,0,0
2012,"2012-01-01","2012-12-31","sa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",3237,0,0,0
