"YEAR","START_DATE","END_DATE","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES"
2024,"2024-01-01","2024-01-31","nsw","major cities of australia","40-64","non_wearing_seatbelts","police issued",151,0,2
2024,"2024-01-01","2024-01-31","nsw","major cities of australia","40-64","speed_fines","police issued",1888,0,10
2024,"2024-01-01","2024-01-31","nsw","major cities of australia","40-64","unlicensed_driving","not applicable",109,0,431
2024,"2024-01-01","2024-01-31","nsw","major cities of australia","65 and over","mobile_phone_use","police issued",31,0,0
2024,"2024-01-01","2024-01-31","nsw","major cities of australia","65 and over","non_wearing_seatbelts","police issued",24,0,0
2024,"2024-01-01","2024-01-31","nsw","major cities of australia","65 and over","speed_fines","police issued",285,0,0
2024,"2024-01-01","2024-01-31","nsw","major cities of australia","65 and over","unlicensed_driving","not applicable",9,0,29
2024,"2024-01-01","2024-01-31","nsw","outer regional australia","0-16","non_wearing_seatbelts","police issued",1,0,1
2024,"2024-01-01","2024-01-31","nsw","outer regional australia","0-16","speed_fines","police issued",2,0,0
2024,"2024-01-01","2024-01-31","nsw","outer regional australia","0-16","unlicensed_driving","not applicable",0,0,2
2024,"2024-01-01","2024-01-31","nsw","outer regional australia","17-25","mobile_phone_use","police issued",6,0,0
2024,"2024-01-01","2024-01-31","nsw","outer regional australia","17-25","non_wearing_seatbelts","police issued",17,0,0
2024,"2024-01-01","2024-01-31","nsw","outer regional australia","17-25","speed_fines","police issued",347,0,1
2024,"2024-01-01","2024-01-31","nsw","outer regional australia","17-25","unlicensed_driving","not applicable",14,0,47
2024,"2024-01-01","2024-01-31","nsw","outer regional australia","26-39","mobile_phone_use","police issued",11,0,0
2024,"2024-01-01","2024-01-31","nsw","outer regional australia","26-39","non_wearing_seatbelts","police issued",43,0,0
2024,"2024-01-01","2024-01-31","nsw","outer regional australia","26-39","speed_fines","police issued",639,0,1
2024,"2024-01-01","2024-01-31","nsw","outer regional australia","26-39","unlicensed_driving","not applicable",24,0,58
2024,"2024-01-01","2024-01-31","nsw","outer regional australia","40-64","mobile_phone_use","police issued",3,0,0
2024,"2024-01-01","2024-01-31","nsw","outer regional australia","40-64","non_wearing_seatbelts","police issued",20,0,6
2024,"2024-01-01","2024-01-31","nsw","outer regional australia","40-64","speed_fines","police issued",732,0,1
2024,"2024-01-01","2024-01-31","nsw","outer regional australia","40-64","unlicensed_driving","not applicable",13,0,36
2024,"2024-01-01","2024-01-31","nsw","outer regional australia","65 and over","mobile_phone_use","police issued",2,0,0
2024,"2024-01-01","2024-01-31","nsw","outer regional australia","65 and over","non_wearing_seatbelts","police issued",8,0,0
2024,"2024-01-01","2024-01-31","nsw","outer regional australia","65 and over","speed_fines","police issued",194,0,0
2024,"2024-01-01","2024-01-31","nsw","outer regional australia","65 and over","unlicensed_driving","not applicable",1,0,3
2024,"2024-01-01","2024-01-31","nsw","remote australia","0-16","speed_fines","police issued",1,0,0
2024,"2024-01-01","2024-01-31","nsw","remote australia","17-25","mobile_phone_use","police issued",1,0,1
2024,"2024-01-01","2024-01-31","nsw","remote australia","17-25","non_wearing_seatbelts","police issued",6,0,1
2024,"2024-01-01","2024-01-31","nsw","remote australia","17-25","speed_fines","police issued",28,0,0
2024,"2024-01-01","2024-01-31","nsw","remote australia","17-25","unlicensed_driving","not applicable",0,0,4
2024,"2024-01-01","2024-01-31","nsw","remote australia","26-39","non_wearing_seatbelts","police issued",9,0,0
2024,"2024-01-01","2024-01-31","nsw","remote australia","26-39","speed_fines","police issued",55,0,0
2024,"2024-01-01","2024-01-31","nsw","remote australia","26-39","unlicensed_driving","not applicable",2,0,9
2024,"2024-01-01","2024-01-31","nsw","remote australia","40-64","non_wearing_seatbelts","police issued",3,0,0
2024,"2024-01-01","2024-01-31","nsw","remote australia","40-64","speed_fines","police issued",54,0,0
2024,"2024-01-01","2024-01-31","nsw","remote australia","40-64","unlicensed_driving","not applicable",1,0,9
2024,"2024-01-01","2024-01-31","nsw","remote australia","65 and over","non_wearing_seatbelts","police issued",3,0,0
2024,"2024-01-01","2024-01-31","nsw","remote australia","65 and over","speed_fines","police issued",21,0,0
2024,"2024-01-01","2024-01-31","nsw","unknown","0-16","speed_fines","police issued",2,0,0
2024,"2024-01-01","2024-01-31","nsw","unknown","0-16","unlicensed_driving","not applicable",1,0,3
2024,"2024-01-01","2024-01-31","nsw","unknown","17-25","mobile_phone_use","police issued",12,0,1
2024,"2024-01-01","2024-01-31","nsw","unknown","17-25","non_wearing_seatbelts","police issued",11,0,0
2024,"2024-01-01","2024-01-31","nsw","unknown","17-25","speed_fines","police issued",96,0,5
2024,"2024-01-01","2024-01-31","nsw","unknown","17-25","unlicensed_driving","not applicable",6,0,51
2024,"2024-01-01","2024-01-31","nsw","unknown","26-39","mobile_phone_use","police issued",14,0,0
2024,"2024-01-01","2024-01-31","nsw","unknown","26-39","non_wearing_seatbelts","police issued",17,0,0
2024,"2024-01-01","2024-01-31","nsw","unknown","26-39","speed_fines","police issued",136,0,2
2024,"2024-01-01","2024-01-31","nsw","unknown","26-39","unlicensed_driving","not applicable",18,0,57
2024,"2024-01-01","2024-01-31","nsw","unknown","40-64","mobile_phone_use","police issued",10,0,0
2024,"2024-01-01","2024-01-31","nsw","unknown","40-64","non_wearing_seatbelts","police issued",15,0,0
2024,"2024-01-01","2024-01-31","nsw","unknown","40-64","speed_fines","police issued",126,0,0
2024,"2024-01-01","2024-01-31","nsw","unknown","40-64","unlicensed_driving","not applicable",8,0,52
2024,"2024-01-01","2024-01-31","nsw","unknown","65 and over","mobile_phone_use","police issued",2,0,0
2024,"2024-01-01","2024-01-31","nsw","unknown","65 and over","non_wearing_seatbelts","police issued",3,0,0
2024,"2024-01-01","2024-01-31","nsw","unknown","65 and over","speed_fines","police issued",26,0,0
2024,"2024-01-01","2024-01-31","nsw","unknown","65 and over","unlicensed_driving","not applicable",0,0,2
2024,"2024-01-01","2024-01-31","nsw","unknown","unknown","mobile_phone_use","fixed or mobile camera",13537,0,0
2024,"2024-01-01","2024-01-31","nsw","unknown","unknown","speed_fines","fixed camera",28498,0,0
2024,"2024-01-01","2024-01-31","nsw","unknown","unknown","speed_fines","mobile camera",2870,0,0
2024,"2024-01-01","2024-01-31","nsw","unknown","unknown","speed_fines","red light camera",17764,0,0
2024,"2024-01-01","2024-01-31","nsw","unknown","unknown","speed_fines","unknown",1,0,0
2024,"2024-01-01","2024-01-31","nsw","very remote australia","0-16","unlicensed_driving","not applicable",0,0,1
2024,"2024-01-01","2024-01-31","nsw","very remote australia","17-25","non_wearing_seatbelts","police issued",1,0,0
2024,"2024-01-01","2024-01-31","nsw","very remote australia","17-25","speed_fines","police issued",2,0,0
2024,"2024-01-01","2024-01-31","nsw","very remote australia","17-25","unlicensed_driving","not applicable",0,0,4
2024,"2024-01-01","2024-01-31","nsw","very remote australia","26-39","non_wearing_seatbelts","police issued",2,0,0
2024,"2024-01-01","2024-01-31","nsw","very remote australia","26-39","speed_fines","police issued",4,0,0
2024,"2024-01-01","2024-01-31","nsw","very remote australia","26-39","unlicensed_driving","not applicable",0,0,3
2024,"2024-01-01","2024-01-31","nsw","very remote australia","40-64","non_wearing_seatbelts","police issued",1,0,0
2024,"2024-01-01","2024-01-31","nsw","very remote australia","40-64","speed_fines","police issued",5,0,0
2024,"2024-01-01","2024-01-31","nsw","very remote australia","40-64","unlicensed_driving","not applicable",1,0,2
2024,"2024-01-01","2024-01-31","nsw","very remote australia","65 and over","unlicensed_driving","not applicable",0,0,2
2024,"2024-01-01","2024-01-31","nt","unknown","0-16","non_wearing_seatbelts","police issued",0,0,3
2024,"2024-01-01","2024-01-31","nt","unknown","0-16","speed_fines","mobile camera",3,0,0
